player_id,first_name,last_name,position
4575,Nate,Theaker,G
4591,Dymonte,Thomas,FS
2438,Mark,Glowinski,G
3429,Darien,Harris,OLB
471,Garrison,Sanborn,LS
4008,Greg,Manusky,NA
4437,Connor,Harris,FB
442,Geoff,Schwartz,G
4462,Erik,Magnuson,C
1160,Tahir,Whitehead,OLB
5297,Zach,Sieler,NT
5391,Steven,Dunbar,WR
5716,Brandon,Smith,OT
6700,Marcelias,Sutton,RB
6176,Cameron,Smith,ILB
4941,Dontre,Wilson,WR
3427,Trae,Elston,SS
734,Trent,Williams,OT
4908,Steve,Keim,NA
96,Aaron,Rodgers,QB
1507,Jon,Bostic,ILB
2271,Brock,Coyle,ILB
5715,RJ,Prince,OT
5610,Evan,Brown,G
1964,Ulrick,John,OT
5091,Parry,Nickerson,CB
1686,Tony,Jefferson,SS
2121,TJ,Jones,WR
2354,Mitch,Morse,C
4010,Dom,Capers,NA
3411,Jordan,Lomax,FS
6583,Joshua,Moon,FS
3557,Brandon,Williams,CB
4924,Zach,Terrell,QB
6726,Patrick,Lawrence,OT
3009,Sean,Hickey,OT
378,Pat,McAfee,P
2135,Ha'Sean,Clinton-Dix,FS
6161,LJ,Scott,RB
6722,Dave,Deguglielmo,NA
2416,Tre,Jackson,G
1238,Josh,Harris,LS
2930,Justin,Tukes,TE
899,Dan,Bailey,K
5389,Alan,Knott,C
5090,Folorunso,Fatukasi,NT
14,Sidney,Rice,WR
4139,Amara,Darboh,WR
6430,Curtis,Bolton,ILB
1411,Landry,Jones,QB
4140,Shaquill,Griffin,CB
6734,Thomas,Costigan,DL
1539,Paul,Worrilow,OLB
996,Richard,Sherman,CB
4690,Ken,Ekanem,OLB
4838,Austin,Albrecht,OL
4405,Caleb,Kidder,DE
4807,Mike,Estes,TE
5981,Greg,Gaines,NT
901,Bruce,Carter,ILB
4912,AJ,Hughes,P
3506,Ryan,Malleck,TE
5072,Jamil,Demby,G
3337,Tyrone,Holmes,DE
1893,Trey,Hopkins,C
994,Michael,Morgan,OLB
2608,Dylan,Wynn,DE
4713,CJ,Robbins,DE
1923,Shaquille,Richardson,CB
2948,Brandon,Cottom,RB
2578,John,Harris,WR
148,Andre,Caldwell,WR
381,Terrance,Knighton,DT
1472,DJ,Hayden,CB
6655,Taj-Amir,Torres,CB
3521,Alex,Balducci,G
669,Arian,Foster,RB
2385,Alex,Carter,CB
250,Matt,Spaeth,TE
2750,Deandre,Carter,WR
5429,Jeremiah,Kolone,G
2020,Cairo,Santos,K
655,Anquan,Boldin,WR
2306,Jameis,Winston,QB
3838,Antonio,Hamilton,CB
3023,Damian,Parms,SS
3347,Jake,Rudock,QB
4738,Colby,Pearson,WR
5972,B.J.,Autry,G
318,Chris,Long,DE
1363,Michael,Buchanan,DE
2829,Al-Hajj,Shabazz,CB
6255,Bradford,Lemmons,CB
617,Patrick,Robinson,CB
3152,Andy,Reid,NA
2066,Zack,Martin,G
6123,Greedy,Williams,CB
2000,Lamin,Barrow,OLB
1057,Ishmaa'ily,Kitchen,NT
307,Shane,Lechler,P
4781,Malik,Golden,SS
5113,Cedrick,Wilson,WR
4646,Shane,Smith,FB
5045,Courtland,Sutton,WR
3622,Mose,Frazier,WR
1680,Justin,Tuggle,ILB
4770,Trevor,Graham,WR
98,Fred,Davis,TE
247,Harry,Douglas,WR
1243,JR,Sweezy,G
5073,Sebastian,Joseph,NT
5880,Parris,Campbell,WR
